tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
585,2489,2595,1.042,53.09,12.69,20.88,20.34,0.101,0.662,462.7,1027.7,19.2,40.4,2489.4,2594.8,31,67.3
590,2558,2698,1.055,54.70,13.07,20.88,20.32,0.101,0.684,462.7,1027.7,19.2,40.4,2558.1,2697.9,33,55.5
595,2681,2815,1.050,57.26,13.69,20.88,20.30,0.101,0.710,461.4,1027.7,19.3,44.5,2680.5,2814.8,31,60.0
600,2662,2825,1.061,57.01,13.63,20.88,20.30,0.101,0.714,461.4,1027.7,19.3,44.5,2662.3,2825.0,29,67.0
605,2705,2899,1.072,58.05,13.87,20.88,20.29,0.101,0.730,461.4,1027.7,19.3,44.5,2704.7,2898.9,29,69.6
610,2683,2897,1.080,57.69,13.79,20.89,20.29,0.098,0.726,461.4,1027.7,19.3,44.5,2683.3,2897.4,33,67.3
615,2756,3034,1.101,59.52,14.23,20.89,20.28,0.098,0.756,461.4,1027.7,19.3,44.5,2755.7,3034.3,35,68.2
620,2816,3070,1.090,60.68,14.50,20.89,20.26,0.098,0.763,461.4,1027.7,19.3,44.5,2816.3,3069.8,31,68.8
625,2792,3103,1.111,60.44,14.45,20.89,20.27,0.098,0.770,461.4,1027.7,19.3,44.5,2792.5,3102.5,30,70.4
630,2857,3208,1.123,61.99,14.82,20.89,20.25,0.098,0.793,461.4,1027.7,19.3,44.5,2856.7,3208.3,33,72.5
635,2897,3262,1.126,62.91,15.04,20.89,20.24,0.098,0.805,461.4,1027.7,19.3,44.5,2897.2,3262.4,35,72.3
640,2830,3222,1.139,61.61,14.73,20.89,20.25,0.098,0.796,461.4,1027.7,19.3,44.5,2829.6,3222.4,34,77.2
645,2886,3314,1.148,62.97,15.05,20.89,20.24,0.098,0.816,461.4,1027.7,19.3,44.5,2886.0,3313.9,34,80.8
650,2926,3387,1.157,63.97,15.29,20.89,20.23,0.098,0.832,461.4,1027.7,19.3,44.5,2926.3,3386.6,36,81.6
655,2921,3390,1.161,63.90,15.27,20.89,20.23,0.098,0.833,459.1,1027.7,19.3,49.2,2921.1,3390.2,37,82.3
660,2917,3432,1.177,64.02,15.30,20.89,20.23,0.098,0.845,459.1,1027.7,19.3,49.2,2916.6,3432.0,37,89.0
665,2939,3513,1.195,64.77,15.48,20.89,20.22,0.098,0.863,459.1,1027.7,19.3,49.2,2939.2,3513.4,39,87.9
670,2971,3607,1.214,65.73,15.71,20.89,20.21,0.098,0.883,459.1,1027.7,19.3,49.2,2971.4,3606.8,42,92.9
675,3007,3684,1.225,66.68,15.94,20.89,20.20,0.098,0.900,459.1,1027.7,19.3,49.2,3006.8,3683.7,46,85.0
680,3004,3740,1.245,66.88,15.99,20.89,20.20,0.098,0.912,459.1,1027.7,19.3,49.2,3003.7,3739.5,44,77.2
685,3028,3812,1.259,67.61,16.16,20.89,20.19,0.098,0.928,459.1,1027.7,19.3,49.2,3027.6,3811.6,37,29.7
