tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
105,-62,-61,0.971,0.00,0.00,20.85,20.86,0.128,0.115,462.6,1012.8,19.4,36.9,-62.5,-60.6,0,0.0
110,-69,-67,0.977,0.00,0.00,20.85,20.86,0.128,0.114,462.6,1012.8,19.4,36.9,-68.9,-67.3,0,0.0
115,-70,-75,1.063,0.00,0.00,20.85,20.87,0.128,0.112,462.6,1012.8,19.4,36.9,-70.4,-74.9,0,0.0
120,-80,-79,0.988,0.00,0.00,20.85,20.87,0.128,0.111,490.0,1012.8,19.4,36.6,-80.2,-79.2,0,0.0
125,-89,-91,1.019,0.00,0.00,20.85,20.87,0.128,0.110,490.0,1012.8,19.4,36.6,-89.2,-91.0,0,0.0
130,-97,-95,0.980,0.00,0.00,20.85,20.87,0.128,0.109,490.0,1012.8,19.4,36.6,-96.8,-94.9,0,0.0
135,-93,-94,1.011,0.00,0.00,20.85,20.87,0.128,0.109,490.0,1012.8,19.4,36.6,-93.3,-94.3,0,0.0
140,-94,-92,0.975,0.00,0.00,20.85,20.87,0.128,0.110,490.0,1012.8,19.4,36.6,-94.0,-91.6,0,0.0
145,-90,-87,0.966,0.00,0.00,20.85,20.87,0.128,0.110,490.0,1012.8,19.4,36.6,-90.2,-87.1,0,0.0
150,-85,-83,0.980,0.00,0.00,20.85,20.87,0.128,0.111,490.0,1012.8,19.4,36.6,-85.0,-83.3,0,0.0
155,-82,-81,0.983,0.00,0.00,20.85,20.87,0.128,0.112,490.0,1012.8,19.4,36.6,-82.0,-80.6,0,0.0
160,-77,-80,1.034,0.00,0.00,20.85,20.87,0.128,0.112,490.0,1012.8,19.4,36.6,-77.3,-79.9,0,0.0
165,-77,-83,1.078,0.00,0.00,20.85,20.87,0.128,0.111,490.0,1012.8,19.4,36.6,-76.6,-82.6,0,0.0
170,-85,-87,1.021,0.00,0.00,20.85,20.87,0.128,0.110,490.0,1012.8,19.4,36.6,-85.3,-87.1,0,0.0
175,-90,-91,1.007,0.00,0.00,20.85,20.87,0.128,0.110,490.0,1012.8,19.4,36.6,-90.4,-91.1,0,0.0
180,-95,-92,0.971,0.00,0.00,20.85,20.87,0.128,0.109,490.2,1012.8,19.4,36.2,-95.1,-92.3,0,0.0
185,-92,-91,0.996,0.00,0.00,20.85,20.87,0.128,0.110,490.2,1012.8,19.4,36.2,-91.7,-91.3,0,0.0
190,-90,-88,0.970,0.00,0.00,20.85,20.87,0.128,0.110,490.2,1012.8,19.4,36.2,-90.2,-87.5,0,0.0
195,-87,-87,1.002,0.00,0.00,20.85,20.87,0.128,0.110,490.2,1012.8,19.4,36.2,-86.7,-86.9,0,0.0
200,-90,-88,0.972,0.00,0.00,20.85,20.87,0.128,0.110,490.2,1012.8,19.4,36.2,-90.2,-87.7,0,0.0
205,-86,-86,1.007,0.00,0.00,20.85,20.87,0.128,0.111,490.2,1012.8,19.4,36.2,-85.6,-86.3,0,0.0
210,-82,-83,1.015,0.00,0.00,20.85,20.87,0.128,0.111,490.2,1012.8,19.4,36.2,-81.6,-82.8,0,0.0
215,-79,-80,1.017,0.00,0.00,20.85,20.87,0.128,0.112,490.2,1012.8,19.4,36.2,-78.6,-80.0,0,0.0
220,-83,-79,0.961,0.00,0.00,20.85,20.87,0.128,0.112,490.2,1012.8,19.4,36.2,-82.5,-79.3,0,0.0
225,-78,-70,0.903,0.00,0.00,20.85,20.87,0.128,0.114,490.2,1012.8,19.4,36.2,-77.5,-70.0,0,0.0
230,-58,-56,0.975,0.00,0.00,20.85,20.86,0.128,0.117,490.2,1012.8,19.4,36.2,-57.6,-56.2,0,0.0
235,-51,-55,1.083,0.00,0.00,20.85,20.86,0.128,0.117,490.2,1012.8,19.4,36.2,-50.6,-54.8,0,0.0
240,-60,-50,0.820,0.00,0.00,20.85,20.86,0.128,0.118,490.3,1012.8,19.4,36.4,-60.4,-49.6,0,0.0
245,-54,-46,0.848,0.00,0.00,20.85,20.86,0.128,0.119,490.3,1012.8,19.4,36.4,-54.0,-45.8,0,0.0
250,-60,-55,0.907,0.00,0.00,20.85,20.86,0.128,0.117,490.3,1012.8,19.4,36.4,-60.3,-54.7,0,0.0
255,-57,-60,1.052,0.00,0.00,20.85,20.86,0.128,0.116,490.3,1012.8,19.4,36.4,-56.6,-59.6,0,0.0
